Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	AF518BM	AF7518
NULL	NULL	AF518UM	AF7702
NULL	NULL	AF521GY	AF7521
NULL	NULL	AF521JZ	AF6016
NULL	NULL	AF522BM	AF7522
NULL	NULL	AF522UM	AF7522
NULL	NULL	AF522VH	AF6218
NULL	NULL	AF523FZ	AF7523
NULL	NULL	AF524BM	AF7524
NULL	NULL	AF525GY	AF7525
NULL	NULL	AF526BM	AF7526
NULL	NULL	AF526UM	AF7526
NULL	NULL	AF527FZ	AF7527
NULL	NULL	AF527ZW	AF7527
NULL	NULL	AF528BL	AF7559
NULL	NULL	AF528UM	AF7528
NULL	NULL	AF529GY	AF7529
NULL	NULL	AF532NO	AF7532
NULL	NULL	AF533RT	AF7533
NULL	NULL	AF535RT	AF7535
NULL	NULL	AF537RT	AF7537
NULL	NULL	AF538CS	AFR16YE
NULL	NULL	AF539PZ	AF7539
NULL	NULL	AF540HN	AF7540
NULL	NULL	AF540PE	AF7540
NULL	NULL	AF541FJ	AF7541
NULL	NULL	AF541TU	AF7541
NULL	NULL	AF542MN	AF7545
NULL	NULL	AF542MX	AFR542M
NULL	NULL	AF543NW	AF7543
NULL	NULL	AF543TU	AF7543
NULL	NULL	AF544FN	AFR544F
NULL	NULL	AF544HM	AF7557
NULL	NULL	AF544HN	AF7544
NULL	NULL	AF545FU	AF7545
NULL	NULL	AF545KO	AF4203
NULL	NULL	AF545TU	AF7545
NULL	NULL	AF546BM	AF7547
NULL	NULL	AF546FN	AF7546
NULL	NULL	AF547NW	BZH7547
NULL	NULL	AF549NW	AF7549
NULL	NULL	AF550MX	AFR550M
NULL	NULL	AF551FU	AFR551F
NULL	NULL	AF551NW	AF7551
